No.,Bit Address,Bit Address,Trigger Condition(0:OFF; 1:ON),Message,Hive,MessageHive,ErrorCode,Severity
1,[PLC1]GGB000040900,MB37000,1,CPU警告/异常,TRUE,,,error
2,[PLC1]GGB000040901,MB37001,1,MECHATROLINK警报,TRUE,,,critical
3,[PLC1]GGB000040902,MB37002,1,CPU模式错误,TRUE,,,warning
4,[PLC1]GGB000040903,MB37003,1,CPU电池警报,TRUE,,,error
5,[PLC1]GGB000040904,MB37004,1,CPU温度警告,TRUE,,,error
6,[PLC1]GGB000040905,MB37005,1,,TRUE,,,error
7,[PLC1]GGB000040906,MB37006,1,,TRUE,,,error
8,[PLC1]GGB000040907,MB37007,1,,TRUE,,,error
9,[PLC1]GGB000040908,MB37008,1,,TRUE,,,error
10,[PLC1]GGB000040909,MB37009,1,,TRUE,,,error
11,[PLC1]GGB00004090A,MB3700A,1,,TRUE,,,error
12,[PLC1]GGB00004090B,MB3700B,1,,TRUE,,,error
13,[PLC1]GGB00004090C,MB3700C,1,,TRUE,,,error
14,[PLC1]GGB00004090D,MB3700D,1,,TRUE,,,error
17,[PLC1]GGB000040910,MB37010,1,安全继电器报�?0,TRUE,,,error
18,[PLC1]GGB000040911,MB37011,1,1#架台前左安全�?0,TRUE,,,error
19,[PLC1]GGB000040912,MB37012,1,1#架台前右安全�?0,TRUE,,,error
20,[PLC1]GGB000040913,MB37013,1,1#架台侧左安全�?0,TRUE,,,error
21,[PLC1]GGB000040914,MB37014,1,1#架台侧右安全�?0,TRUE,,,error
22,[PLC1]GGB000040915,MB37015,1,2#架台前左安全�?0,TRUE,,,error
23,[PLC1]GGB000040916,MB37016,1,2#架台前右安全�?0,TRUE,,,error
24,[PLC1]GGB000040917,MB37017,1,2#架台右侧安全�?0,TRUE,,,error
25,[PLC1]GGB000040918,MB37018,1,设备紧急停止状�?0,TRUE,,,error
26,[PLC1]GGB000040919,MB37019,1,,TRUE,,,error
27,[PLC1]GGB00004091A,MB3701A,1,,TRUE,,,error
28,[PLC1]GGB00004091B,MB3701B,1,,TRUE,,,error
29,[PLC1]GGB00004091C,MB3701C,1,,TRUE,,,error
