No.,Bit Address,Bit Address,Trigger Condition(0:OFF; 1:ON),Message,Hive,MessageHive,ErrorCode,Severity
1,[PLC1]GGB000040900,MB37000,1,CPU警告/异常,TRUE,CPU warning/abnormal,N99PLOO-01-03,critical
2,[PLC1]GGB000040901,MB37001,1,MECHATROLINK警报,TRUE,MECHATROLINK alarm,N03PLPO-06-03,critical
3,[PLC1]GGB000040902,MB37002,1,CPU模式错误,TRUE,CPU mode error,N99PLOO-02-03,critical
4,[PLC1]GGB000040903,MB37003,1,CPU电池警报,TRUE,CPU battery alarm,N99PLOO-03-03,critical
5,[PLC1]GGB000040904,MB37004,1,CPU温度警告,TRUE,CPU temperature warning,N99PLOO-04-03,critical
6,[PLC1]GGB000040905,MB37005,1,"相机与上位机软件通讯断开,请检查通讯链接！",TRUE,Camera and PC don't connect normally,N99PLOO-05-03,critical
7,[PLC1]GGB000040906,MB37006,1,,TRUE,,,critical
8,[PLC1]GGB000040907,MB37007,1,,TRUE,,,critical
9,[PLC1]GGB000040908,MB37008,1,,TRUE,,,critical
10,[PLC1]GGB000040909,MB37009,1,,TRUE,,,critical
11,[PLC1]GGB00004090A,MB3700A,1,,TRUE,,,critical
12,[PLC1]GGB00004090B,MB3700B,1,,TRUE,,,critical
13,[PLC1]GGB00004090C,MB3700C,1,,TRUE,,,critical
14,[PLC1]GGB00004090D,MB3700D,1,,TRUE,,,critical
17,[PLC1]GGB000040910,MB37010,1,安全继电器报警,TRUE,Safety relay alarm,F99SSSE-01-03,critical
18,[PLC1]GGB000040911,MB37011,1,1#架台前左安全门,TRUE,1#The front left safety door alarms,F02SCBO-03-10,critical
19,[PLC1]GGB000040912,MB37012,1,1#架台前右安全门,TRUE,1#The front right safety door alarms,F02SCBO-04-10,critical
20,[PLC1]GGB000040913,MB37013,1,1#架台侧左安全门,TRUE,1#The left safety door alarm of the stand,F02SCBO-06-10,critical
21,[PLC1]GGB000040914,MB37014,1,1#架台侧右安全门,TRUE,1#Right safety door alarm,F02SCBO-05-10,critical
22,[PLC1]GGB000040915,MB37015,1,2#架台前左安全门,TRUE,2#The front right safety door alarms,F02SCBO-07-10,critical
23,[PLC1]GGB000040916,MB37016,1,2#架台前右安全门,TRUE,2#The left safety door alarm of the stand,F02SCBO-08-10,critical
24,[PLC1]GGB000040917,MB37017,1,2#架台右侧安全门,TRUE,2#Right safety door alarm,F02SCBO-09-10,critical
25,[PLC1]GGB000040918,MB37018,1,设备紧急停止状态,TRUE,Equipment emergency stop state,F01ESOO-10-05,critical
26,[PLC1]GGB000040919,MB37019,1,,TRUE,,,critical
27,[PLC1]GGB00004091A,MB3701A,1,,TRUE,,,critical
28,[PLC1]GGB00004091B,MB3701B,1,,TRUE,,,critical
29,[PLC1]GGB00004091C,MB3701C,1,,TRUE,,,critical
30,[PLC1]GGB00004091D,MB3701D,1,,TRUE,,,critical
33,[PLC1]GGB000040920,MB37020,1,,TRUE,,,critical
34,[PLC1]GGB000040921,MB37021,1,,TRUE,,,critical
35,[PLC1]GGB000040922,MB37022,1,,TRUE,,,critical
36,[PLC1]GGB000040923,MB37023,1,,TRUE,,,critical
37,[PLC1]GGB000040924,MB37024,1,,TRUE,,,critical
38,[PLC1]GGB000040925,MB37025,1,,TRUE,,,critical
39,[PLC1]GGB000040926,MB37026,1,,TRUE,,,critical
40,[PLC1]GGB000040927,MB37027,1,,TRUE,,,critical
41,[PLC1]GGB000040928,MB37028,1,,TRUE,,,critical
42,[PLC1]GGB000040929,MB37029,1,,TRUE,,,critical
43,[PLC1]GGB00004092A,MB3702A,1,,TRUE,,,critical
44,[PLC1]GGB00004092B,MB3702B,1,,TRUE,,,critical
45,[PLC1]GGB00004092C,MB3702C,1,,TRUE,,,critical
46,[PLC1]GGB00004092D,MB3702D,1,,TRUE,,,critical
49,[PLC1]GGB000040930,MB37030,1,,TRUE,,,critical
50,[PLC1]GGB000040931,MB37031,1,,TRUE,,,critical
51,[PLC1]GGB000040932,MB37032,1,,TRUE,,,critical
52,[PLC1]GGB000040933,MB37033,1,,TRUE,,,critical
53,[PLC1]GGB000040934,MB37034,1,,TRUE,,,critical
54,[PLC1]GGB000040935,MB37035,1,,TRUE,,,critical
55,[PLC1]GGB000040936,MB37036,1,,TRUE,,,critical
56,[PLC1]GGB000040937,MB37037,1,,TRUE,,,critical
57,[PLC1]GGB000040938,MB37038,1,,TRUE,,,critical
58,[PLC1]GGB000040939,MB37039,1,,TRUE,,,critical
59,[PLC1]GGB00004093A,MB3703A,1,,TRUE,,,critical
60,[PLC1]GGB00004093B,MB3703B,1,,TRUE,,,critical
61,[PLC1]GGB00004093C,MB3703C,1,,TRUE,,,critical
62,[PLC1]GGB00004093D,MB3703D,1,,TRUE,,,critical
65,[PLC1]GGB000040940,MB37040,1,,TRUE,,,critical
66,[PLC1]GGB000040941,MB37041,1,,TRUE,,,critical
67,[PLC1]GGB000040942,MB37042,1,,TRUE,,,critical
68,[PLC1]GGB000040943,MB37043,1,,TRUE,,,critical
69,[PLC1]GGB000040944,MB37044,1,,TRUE,,,critical
70,[PLC1]GGB000040945,MB37045,1,,TRUE,,,critical
71,[PLC1]GGB000040946,MB37046,1,,TRUE,,,critical
72,[PLC1]GGB000040947,MB37047,1,,TRUE,,,critical
73,[PLC1]GGB000040948,MB37048,1,,TRUE,,,critical
74,[PLC1]GGB000040949,MB37049,1,,TRUE,,,critical
75,[PLC1]GGB00004094A,MB3704A,1,,TRUE,,,critical
76,[PLC1]GGB00004094B,MB3704B,1,,TRUE,,,critical
77,[PLC1]GGB00004094C,MB3704C,1,,TRUE,,,critical
78,[PLC1]GGB00004094D,MB3704D,1,,TRUE,,,critical
81,[PLC1]GGB000041900,MB37100,1,工序1-0-0：IZ1轴伺服原点报警,TRUE,IZ1 axis servo origin alarm,M02GAA*-01-03,critical
82,[PLC1]GGB000041901,MB37101,1,工序1-0-1：IZ1轴伺服报警,TRUE,IZ1 axis servo alarm,M99GAA*-02-03,critical
83,[PLC1]GGB000041902,MB37102,1,工序1-0-2：IY1轴伺服原点报警,TRUE,IY1 axis servo origin alarm,M02GAA*-03-03,critical
84,[PLC1]GGB000041903,MB37103,1,工序1-0-3：IY1轴伺服报警,TRUE,IY1 axis servo alarm,M99GAA*-04-03,critical
85,[PLC1]GGB000041904,MB37104,1,工序1-0-4：1#机器人未运行报警,TRUE,1# Robot does not run alarm,M01RBRD-01-03,critical
86,[PLC1]GGB000041905,MB37105,1,工序1-0-5：激光传感器检测骨架NG报警,TRUE,Laser sensor detects skeleton NG,S02SSSE-97-03,critical
87,[PLC1]GGB000041906,MB37106,1,工序1-0-6：激光传感器READY报警,TRUE,Laser sensor READY alarm,S02SSSE-98-03,critical
88,[PLC1]GGB000041907,MB37107,1,工序1-0-7：,TRUE,,,critical
89,[PLC1]GGB000041908,MB37108,1,工序1-0-8：,TRUE,,,critical
90,[PLC1]GGB000041909,MB37109,1,工序1-0-9：,TRUE,,,critical
91,[PLC1]GGB00004190A,MB3710A,1,工序1-0-10：,TRUE,,,critical
92,[PLC1]GGB00004190B,MB3710B,1,工序1-0-11：,TRUE,,,critical
93,[PLC1]GGB00004190C,MB3710C,1,工序1-0-12：,TRUE,,,critical
94,[PLC1]GGB00004190D,MB3710D,1,工序1-0-13：,TRUE,,,critical
97,[PLC1]GGB000041910,MB37110,1,工序1-1-0：上料满盘分盘伸出原点报警,TRUE,Loading full trays origin alarm,C01PNSP-01-03,critical
98,[PLC1]GGB000041911,MB37111,1,工序1-1-1：上料满盘分盘缩回动作报警,TRUE,Loading full trays action alarm,C02PNSP-02-03,critical
99,[PLC1]GGB000041912,MB37112,1,工序1-1-2：上料空盘分盘伸出原点报警,TRUE,Loading empty trays origin alarm,C01PNSP-03-03,critical
100,[PLC1]GGB000041913,MB37113,1,工序1-1-3：上料空盘分盘缩回动作报警,TRUE,Loading empty trays action alarm,C02PNSP-04-03,critical
101,[PLC1]GGB000041914,MB37114,1,工序1-1-4：1#模具解锁上下上原点报警,TRUE,1# Mold unlock origin alarm,C01PNSP-05-03,critical
102,[PLC1]GGB000041915,MB37115,1,工序1-1-5：1#模具解锁上下下动作报警,TRUE,1# Mold unlock action alarm,C02PNSP-06-03,critical
103,[PLC1]GGB000041916,MB37116,1,工序1-1-6：2#模具解锁上下上原点报警,TRUE,2# Mold unlock origin alarm,C01PNSP-07-03,critical
104,[PLC1]GGB000041917,MB37117,1,工序1-1-7：2#模具解锁上下下动作报警,TRUE,2# Mold unlock action alarm,C02PNSP-08-03,critical
105,[PLC1]GGB000041918,MB37118,1,工序1-1-8：3#模具解锁上下上原点报警,TRUE,3# Mold unlock origin alarm,C01PNSP-09-03,critical
106,[PLC1]GGB000041919,MB37119,1,工序1-1-9：3#模具解锁上下下动作报警,TRUE,3# Mold unlock action alarm,C02PNSP-10-03,critical
107,[PLC1]GGB00004191A,MB3711A,1,工序1-1-10：4#模具解锁上下上原点报警,TRUE,4# Mold unlock origin alarm,C01PNSP-11-03,critical
108,[PLC1]GGB00004191B,MB3711B,1,工序1-1-11：4#模具解锁上下下动作报警,TRUE,4# Mold unlock action alarm,C02PNSP-12-03,critical
109,[PLC1]GGB00004191C,MB3711C,1,工序1-1-12：上料治具解锁前后后原点报警,TRUE,Unlock the origin of loading fixture alarm,C01PNSP-13-03,critical
110,[PLC1]GGB00004191D,MB3711D,1,工序1-1-13：上料治具解锁前后前动作报警,TRUE,Unlock the action of loading fixture alarm,C02PNSP-14-03,critical
113,[PLC1]GGB000041920,MB37120,1,工序1-2-0：上料骨架浮起检测后原点报警,TRUE,The frame floats the detection origin alarm,C01PNSP-15-03,critical
