MachineNo,Station,Date,Time,Rstart,Current,Voltage,Power,Rend,Bonding_Temp,Bonding_Time,Tool_Temp,Bonding_Method,RC1,RC2,Result,TimeStamp,SetValue_WireDiameter,SetValue_NoParallWires,SetValue_CurrentDensity,SetValue_BondingTemperature
#88888,A,01-24-2022,9:39:37,0.327,31.33,13.682,428.6,0.3844,70.3,2.1,25.6,Constant Current,0.02616,0.02616,Fail,1/24/2022 9:39:37 AM,0.114,7,440,100
#88888,A,01-24-2022,9:40:21,0.3282,31.33,13.65,427.7,0.3792,66.1,2.1,26.6,Constant Current,0.02823,0.02823,Fail,1/24/2022 9:40:21 AM,0.114,7,440,100
#88888,B,01-24-2022,9:40:28,0.3266,31.29,14.368,449.6,0.3948,78.4,2.1,25.3,Constant Current,0.03216,0.03216,Fail,1/24/2022 9:40:28 AM,0.114,7,440,100
#88888,A,01-24-2022,9:41:11,0.3297,31.33,13.586,425.7,0.3723,60.6,2.1,27.7,Constant Current,0.03063,0.03063,Fail,1/24/2022 9:41:11 AM,0.114,7,440,100
#88888,B,01-24-2022,9:41:18,0.3281,31.3,14.314,448,0.3821,68.3,2.1,26.4,Constant Current,0.03764,0.03764,Fail,1/24/2022 9:41:18 AM,0.114,7,440,100
#88888,A,01-24-2022,9:41:55,0.3308,31.34,13.678,428.6,0.3771,64.2,2.1,28.6,Constant Current,0.02972,0.02972,Fail,1/24/2022 9:41:55 AM,0.114,7,440,100
#88888,B,01-24-2022,9:42:06,0.3292,31.3,14.02,438.8,0.3887,73.3,2.1,27.3,Constant Current,0.02964,0.02964,Fail,1/24/2022 9:42:6 AM,0.114,7,440,100
#88888,A,01-24-2022,9:42:45,0.3313,31.33,13.846,433.9,0.3871,71.9,2.1,29,Constant Current,0.02738,0.02738,Fail,1/24/2022 9:42:45 AM,0.114,7,440,100
#88888,B,01-24-2022,9:42:52,0.33,31.3,14.097,441.2,0.3811,67.3,2.1,28,Constant Current,0.03467,0.03467,Fail,1/24/2022 9:42:52 AM,0.114,7,440,100
#88888,A,01-24-2022,9:43:29,0.3323,31.33,13.76,431.1,0.3847,69.9,2.1,29.8,Constant Current,0.02725,0.02725,Fail,1/24/2022 9:43:29 AM,0.114,7,440,100
#88888,B,01-24-2022,9:43:40,0.331,31.29,14.013,438.5,0.3818,67.8,2.1,28.7,Constant Current,0.03301,0.03301,Fail,1/24/2022 9:43:40 AM,0.114,7,440,100
#88888,A,01-24-2022,9:44:19,0.333,31.33,13.8,432.4,0.3897,73.7,2.1,30.4,Constant Current,0.02537,0.02537,Fail,1/24/2022 9:44:19 AM,0.114,7,440,100
#88888,B,01-24-2022,9:44:26,0.3319,31.29,14.11,441.5,0.3816,67.6,2.1,29.5,Constant Current,0.03467,0.03467,Fail,1/24/2022 9:44:26 AM,0.114,7,440,100
#88888,A,01-24-2022,9:45:03,0.3335,31.34,13.792,432.2,0.3811,67.1,2.1,30.8,Constant Current,0.02949,0.02949,Fail,1/24/2022 9:45:3 AM,0.114,7,440,100
#88888,B,01-24-2022,9:45:14,0.3326,31.27,14.068,440,0.3922,75.6,2.1,30,Constant Current,0.0288,0.0288,Fail,1/24/2022 9:45:14 AM,0.114,7,440,100
